date,open,high,low,close
2015-06-08,222.86,229.4,222.09,228.11
2015-06-07,224.36,225.48,221.86,222.86
2015-06-06,224.49,225.26,223.07,224.36
2015-06-05,222.37,225.9,219.03,224.49
2015-06-04,225.11,225.98,222.0,222.37
2015-06-03,224.78,226.99,222.57,225.11
2015-06-02,223.67,226.38,221.34,224.78
2015-06-01,229.08,231.2,220.65,223.67
2015-05-31,232.07,232.51,228.0,229.08
2015-05-30,236.02,236.21,231.0,232.07
2015-05-29,236.46,236.52,234.0,236.02
2015-05-28,235.34,236.8,234.87,236.46
2015-05-27,236.21,237.35,234.0,235.34
2015-05-26,235.48,236.23,235.0,236.21
2015-05-25,239.68,240.1,233.1,235.48
2015-05-24,237.71,241.64,237.66,239.68
2015-05-23,238.99,240.67,237.4,237.71
2015-05-22,235.49,240.9,232.92,238.99
2015-05-21,233.8,236.52,233.75,235.49
2015-05-20,231.69,234.86,231.0,233.8
2015-05-19,232.24,234.24,230.86,231.69
2015-05-18,236.05,236.94,231.44,232.24
2015-05-17,235.6,237.0,234.15,236.05
2015-05-16,237.12,237.4,234.0,235.6
2015-05-15,236.95,239.28,235.12,237.12
2015-05-14,236.9,239.7,232.22,236.95
2015-05-13,241.3,244.14,235.06,236.9
2015-05-12,240.06,242.0,238.56,241.3
2015-05-11,239.08,241.0,237.99,239.0
2015-05-10,241.4,244.99,238.02,239.08
2015-05-09,243.16,247.01,238.62,241.4
2015-05-08,236.82,246.57,235.29,243.16
2015-05-07,229.78,240.0,227.35,236.82
2015-05-06,234.37,235.98,227.01,229.78
2015-05-05,237.93,238.99,229.66,234.37
2015-05-04,239.18,242.2,236.07,237.93
2015-05-03,233.9,242.25,232.31,239.18
2015-05-02,231.96,234.9,229.87,233.9
2015-05-01,235.75,239.23,231.04,231.96
2015-04-30,225.49,240.0,224.6,235.75
2015-04-29,225.11,226.99,221.81,225.49
2015-04-28,226.01,228.06,221.45,225.11
2015-04-27,219.49,229.93,217.52,226.01
2015-04-26,226.28,227.26,214.98,219.49
2015-04-25,231.06,232.29,225.7,226.28
2015-04-24,235.14,236.0,228.0,231.06
2015-04-23,233.0,236.22,232.01,235.14
2015-04-22,234.13,238.64,229.1,233.0
2015-04-21,224.07,235.61,223.91,234.13
2015-04-20,222.89,226.51,221.43,224.07
2015-04-19,223.14,227.35,221.91,222.89
2015-04-18,221.86,224.72,220.32,223.14
2015-04-17,227.59,228.29,220.0,221.86
2015-04-16,221.51,229.67,221.51,227.59
2015-04-15,216.42,222.43,214.05,221.51
2015-04-14,222.87,224.79,210.0,216.42
2015-04-13,236.3,236.9,219.64,222.87
2015-04-12,237.34,237.5,233.42,236.3
2015-04-11,234.77,239.42,233.0,237.34
2015-04-10,243.53,243.94,231.0,234.77
2015-04-09,244.09,246.3,238.47,243.53
2015-04-08,254.45,254.96,243.06,244.09
2015-04-07,255.83,256.62,251.5,254.45
2015-04-06,260.5,262.98,254.0,255.83
2015-04-05,253.45,261.0,251.65,260.5
2015-04-04,253.79,255.85,250.76,253.45
2015-04-03,253.16,256.67,251.23,253.79
2015-04-02,245.98,256.96,244.52,253.16
2015-04-01,243.98,246.83,239.32,245.98
2015-03-31,247.69,248.59,238.55,243.98
2015-03-30,242.19,248.86,236.52,247.69
2015-03-29,252.31,252.96,239.96,242.19
2015-03-28,248.09,253.83,247.17,252.31
2015-03-27,249.46,250.52,245.12,248.09
2015-03-26,247.68,253.75,244.91,249.46
2015-03-25,246.93,250.0,236.4,247.68
2015-03-24,265.84,266.52,241.84,246.93
2015-03-23,269.39,270.07,259.5,265.84
2015-03-22,259.8,272.0,259.24,269.39
2015-03-21,262.09,262.62,256.25,259.8
2015-03-20,262.01,265.27,257.0,262.09
2015-03-19,257.29,265.95,249.0,262.01
2015-03-18,284.46,284.48,249.02,257.29
2015-03-17,289.7,292.99,281.9,284.46
2015-03-16,286.4,294.26,285.78,289.7
2015-03-15,282.7,287.75,281.42,286.4
2015-03-14,284.4,287.69,280.46,282.7
2015-03-13,295.56,295.84,282.99,284.4
2015-03-12,295.11,297.95,289.0,295.56
2015-03-11,290.24,296.74,285.83,295.11
2015-03-10,287.0,296.8,283.96,290.24
2015-03-09,274.89,289.0,274.17,287.0
2015-03-08,275.59,277.59,271.12,274.89
2015-03-07,273.26,279.48,270.0,275.59
2015-03-06,273.8,276.46,269.0,273.26
2015-03-05,269.83,280.5,262.2,273.8
2015-03-04,279.0,283.88,264.94,269.83
2015-03-03,274.0,284.95,265.89,279.0
2015-03-02,258.34,274.81,256.0,274.0
2015-03-01,253.47,260.0,245.0,255.81
2015-02-28,253.06,254.29,245.2,252.98
2015-02-27,236.7,256.15,236.16,253.06
2015-02-26,237.97,238.55,234.01,236.7
2015-02-25,239.94,240.61,236.0,238.0
2015-02-24,239.65,240.88,236.3,239.69
2015-02-23,236.68,240.66,232.05,238.92
2015-02-22,245.41,247.42,232.48,236.68
2015-02-21,245.48,247.48,244.0,245.87
2015-02-20,240.59,248.96,239.41,246.1
2015-02-19,237.37,245.01,235.66,242.67
2015-02-18,244.96,247.0,232.24,235.79
2015-02-17,236.55,248.78,232.01,244.96
2015-02-16,234.01,241.23,229.2,236.55
2015-02-15,256.99,265.89,227.75,234.01
2015-02-14,237.0,259.31,236.9,257.9
2015-02-13,223.0,242.35,221.37,236.86
2015-02-12,219.55,223.07,218.17,222.46
2015-02-11,220.95,223.43,217.99,219.12
2015-02-10,220.72,222.0,215.0,220.95
2015-02-09,224.19,225.99,215.0,220.72
2015-02-08,228.3,232.89,219.7,224.19
2015-02-07,223.37,231.14,221.77,228.61
2015-02-06,216.81,225.86,214.95,222.88
2015-02-05,227.0,228.94,213.64,217.0
2015-02-04,227.35,231.0,220.02,227.0
2015-02-03,237.97,244.39,223.79,227.35
2015-02-02,214.8,241.98,214.8,237.97
2015-02-01,217.98,220.81,208.48,214.8
2015-01-31,232.6,234.8,215.75,217.98
2015-01-30,234.75,244.98,227.26,232.6
2015-01-29,236.2,242.18,220.0,234.75
2015-01-28,262.99,266.45,225.91,236.2
2015-01-27,269.5,278.51,243.1,262.99
2015-01-26,253.09,309.9,253.09,269.5
2015-01-25,249.99,257.0,241.33,253.09
2015-01-24,233.03,249.99,230.03,249.99
2015-01-23,233.0,240.0,225.55,233.03
2015-01-22,228.59,239.0,226.01,233.0
2015-01-21,211.08,228.9,205.0,228.59
2015-01-20,217.84,217.84,201.98,211.08
2015-01-19,210.05,220.94,207.7,216.88
2015-01-18,200.1,222.0,195.02,211.42
2015-01-17,206.6,212.84,192.17,200.1
2015-01-16,214.77,223.15,198.04,206.6
2015-01-15,162.0,233.9,161.1,208.81
2015-01-14,221.0,230.89,152.4,162.0
2015-01-13,268.16,268.72,216.0,221.0
2015-01-12,270.4,272.43,263.54,268.16
2015-01-11,276.8,276.8,276.8,276.8
2015-01-10,276.8,276.8,276.8,276.8
2015-01-09,276.8,276.8,276.8,276.8
2015-01-08,276.8,276.8,276.8,276.8
2015-01-07,276.8,276.8,276.8,276.8
2015-01-06,276.8,276.8,276.8,276.8
2015-01-05,264.62,280.0,262.94,276.8
2015-01-04,286.01,289.81,255.0,264.62
2015-01-03,316.51,316.58,285.0,286.01
2015-01-02,316.31,317.01,311.96,316.51
2015-01-01,319.25,321.0,312.6,316.31
